epoch,loss
1,1.2453941493034362
2,1.119930828690529
3,1.1146923048496247
4,1.1081328438520432
5,1.1082800017595291
6,1.1010325404405594
7,1.0968901960849762
8,1.0927629112005233
9,1.093285710632801
10,1.0953478628396989
11,1.0846846014261247
12,1.0867971031665802
13,1.0823876441717148
14,1.0806163212060929
15,1.0746099506616593
16,1.072460510134697
17,1.062041391134262
18,1.0542300814390182
19,1.046607099533081
20,1.0425950422286987
21,1.034745504975319
22,1.03211097407341
23,1.0252738658189773
24,1.018211434364319
25,1.0064991961717606
26,1.01042972946167
27,0.9972242031693459
28,0.9962175619602204
29,0.9934582723379135
30,0.9908422191143036
31,0.989894270658493
32,0.974319846868515
33,0.9706000849604607
34,0.9755192182660103
35,0.9676034778356553
36,0.9604741003513336
37,0.9603756844997406
38,0.9582677503824234
39,0.9607652498483658
40,0.9618647335767746
41,0.9496577526926995
42,0.9586990435123444
43,0.9563006546497345
44,0.9501801464557648
45,0.9516400445699692
46,0.9519564852714538
47,0.951504523396492
48,0.9544311473965645
49,0.9482436071634293
50,0.9513026938438416
51,0.9418041260838509
52,0.9390050354003906
53,0.946400408744812
54,0.9520468925237655
55,0.9403862003087997
56,0.9476712545156479
57,0.9460451185703278
58,0.9395565700531006
59,0.9393161075115204
60,0.9375676037073135
61,0.937367255449295
62,0.9376818686723709
63,0.941873061656952
64,0.9369020346403122
65,0.9351897456645966
66,0.9373513907194138
67,0.9410660200715065
68,0.931962078332901
69,0.9254749692678451
70,0.9322831189632416
71,0.9319230672121048
72,0.932469531416893
73,0.9287410066127777
74,0.924485541343689
75,0.9321919808387756
76,0.9307127094864845
77,0.923133623957634
78,0.9260018087029457
79,0.9276420259475708
80,0.9274692930579186
81,0.9304945271015167
82,0.921013414144516
83,0.9269826220273971
84,0.9179311125278473
85,0.9229956809282303
86,0.9299632551670074
87,0.9197397476434708
88,0.9291864933967591
89,0.9318753488063812
90,0.9267989903688431
91,0.9192983376979827
92,0.9225943003892898
93,0.9217332689762116
94,0.9184195526838302
95,0.9190062794685364
96,0.9233553645610809
97,0.9127525914907455
98,0.9192634489536285
99,0.9200455247163772
100,0.9229675049185753
101,0.9191477016210556
102,0.9154393932819367
103,0.9233049862384796
104,0.9247170928716659
105,0.9175239250659942
106,0.9174232238531113
107,0.9110874844193458
108,0.9168469561338425
109,0.9217489409446716
110,0.9122242772579193
111,0.9185226939916611
112,0.9165286737680435
113,0.9152085967063904
114,0.9144511640071868
115,0.9148464040756226
116,0.9171047329902648
117,0.9114353770017624
118,0.9170774643421173
119,0.9180224614739418
120,0.9146790996789932
121,0.9105218295454979
122,0.9173771965503693
123,0.9162306871414184
124,0.9154936732053757
125,0.9102082816362381
126,0.9166246526241303
127,0.9095252840518951
128,0.9155773775577545
129,0.9042995769381523
130,0.9125039855837822
131,0.9122150131464004
132,0.9101012207865715
133,0.9155736253261566
134,0.9132964382171631
135,0.9163684889674186
136,0.9160842028856278
137,0.9102724719047547
138,0.9176323726177216
139,0.908168906211853
140,0.9083896979689599
141,0.9116393282413483
142,0.9136333473920822
143,0.9064172348976135
144,0.9143041617274285
145,0.9129963297843933
146,0.9146230248212814
147,0.9153263404369354
148,0.9052741836309433
149,0.9032848821282387
150,0.9085898735523223
151,0.9135885070562363
152,0.9064277009963989
153,0.9118225524425506
154,0.9056036672592163
155,0.9056859401464462
156,0.9154078185558319
157,0.9179946315288544
158,0.9052604829072952
159,0.9085400007367134
160,0.9093375611305237
161,0.9099599342346192
162,0.9037969850599766
163,0.9064230144619941
164,0.9102652847766877
165,0.9162301181554794
166,0.9121757502555847
167,0.9068221856355667
168,0.9102427062988281
169,0.9091183187961578
170,0.9111518652439118
171,0.9019530074596405
172,0.9130761207342147
173,0.9093323056697845
174,0.9107904867529869
175,0.9006307195425034
176,0.9077595988512039
177,0.9015104868412018
178,0.9090718468427658
179,0.9121076090335846
180,0.9060403796434402
181,0.89905195748806
182,0.9012712433338165
183,0.8991590381860733
184,0.907100472509861
185,0.9038408229351044
186,0.9077222894728184
187,0.9056635099053383
188,0.9103803660869598
189,0.9029798845648765
190,0.9059039218425751
191,0.8996012123823166
192,0.9039441199302674
193,0.9051390531063079
194,0.9128478528261185
195,0.9086162972450257
196,0.9087467188239098
197,0.8992738109827042
198,0.9035416747927666
199,0.9060480499863625
200,0.9079408978223801
201,0.910292848944664
202,0.9061596063375473
203,0.9035448169708252
204,0.9060528724193573
205,0.9047434588670731
206,0.9060722224712372
207,0.9035838451385498
208,0.9017554178833962
209,0.906811316370964
210,0.8974007794260979
211,0.9016134134531021
212,0.9027691776156426
213,0.903268759906292
214,0.8992626499533654
215,0.8979745669960976
216,0.8941245013475418
217,0.9044948633313179
218,0.8996720274686814
219,0.9047969444990158
220,0.9043581978082657
221,0.9062703119516373
222,0.907761596083641
223,0.9053872298002243
224,0.90037904047966
225,0.8987782613039017
226,0.8908565993905068
227,0.8918856978416443
228,0.8997346719503403
229,0.902142541885376
230,0.8984293432831765
231,0.8939273070096969
232,0.9011748790740967
233,0.9036836950778961
234,0.8958387517333031
235,0.8991084087491036
236,0.8948599535226822
237,0.895300519824028
238,0.8990126687884331
239,0.8984099441766739
240,0.8906302428245545
241,0.9087210503816605
242,0.8968943581581116
243,0.8999577128887176
244,0.9002761529684067
245,0.8926025545597076
246,0.9070992457866669
247,0.9007578352689743
248,0.8922882695794105
249,0.8955082932710647
250,0.9034004386663437
251,0.9024390188455582
252,0.8976608777046203
253,0.9025165779590607
254,0.9023258427381515
255,0.8950888553857803
256,0.897423225581646
257,0.8940034661293029
258,0.8971891257762908
259,0.8948632696270943
260,0.8944408326745034
261,0.9026968119740486
262,0.8921185901165009
263,0.9032812649011612
264,0.8898945553302765
265,0.9060168523788452
266,0.8912545329332352
267,0.8977477012872696
268,0.8927485502958298
269,0.8925578603148461
